Skill,CourseName,Platform,Link,CourseLevel,DurationHours,Cost,CertificationAvailable,Rating,ReviewCount
Prototyping,Prototyping Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=prototyping,Intermediate,37,$49,No,3.96,431
Wireframing,Wireframing Mastery with Coursera,Coursera,https://www.coursera.org/search?query=wireframing,Advanced,14,$49,No,3.93,31185
Wireframing,Wireframing Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=wireframing,Intermediate,32,$29,Yes,3.92,64706
Wireframing,Wireframing Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=wireframing,Beginner,29,$29,Yes,3.96,84117
Selenium,Selenium Mastery with Coursera,Coursera,https://www.coursera.org/search?query=selenium,Advanced,12,$49,No,5.0,44274
Selenium,Selenium Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=selenium,Advanced,11,Free,No,4.25,40370
Selenium,Selenium Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=selenium,Beginner,10,$29,No,4.23,47189
Postman,Postman Mastery with Coursera,Coursera,https://www.coursera.org/search?query=postman,Intermediate,17,$29,Yes,4.61,82566
Postman,Postman Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=postman,Intermediate,18,$29,Yes,4.84,56165
Postman,Postman Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=postman,Beginner,28,Free,Yes,3.89,78468
TestNG,TestNG Mastery with Coursera,Coursera,https://www.coursera.org/search?query=testng,Intermediate,35,$29,Yes,4.72,17357
TestNG,TestNG Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=testng,Advanced,11,$29,No,4.94,65741
TestNG,TestNG Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=testng,Advanced,34,Free,Yes,4.9,2546
JUnit,JUnit Mastery with Coursera,Coursera,https://www.coursera.org/search?query=junit,Advanced,6,$49,Yes,4.06,96380
JUnit,JUnit Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=junit,Advanced,21,$49,Yes,3.84,3378
JUnit,JUnit Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=junit,Advanced,35,$49,No,4.68,86380
Automation,Automation Mastery with Coursera,Coursera,https://www.coursera.org/search?query=automation,Advanced,12,Free,Yes,4.0,68023
Automation,Automation Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=automation,Beginner,29,Free,Yes,4.66,8631
Automation,Automation Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=automation,Advanced,10,$49,Yes,4.39,91849
Manual Testing,Manual Testing Mastery with Coursera,Coursera,https://www.coursera.org/search?query=manual-testing,Beginner,16,$49,Yes,4.27,18148
Manual Testing,Manual Testing Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=manual-testing,Intermediate,35,$29,No,4.95,29364
Manual Testing,Manual Testing Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=manual-testing,Beginner,28,$49,No,4.43,68420
Deep Learning,Deep Learning Mastery with Coursera,Coursera,https://www.coursera.org/search?query=deep-learning,Intermediate,5,Free,No,4.01,88435
Deep Learning,Deep Learning Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=deep-learning,Advanced,36,Free,No,4.86,77104
Deep Learning,Deep Learning Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=deep-learning,Beginner,39,$29,Yes,4.14,93053
Neural Networks,Neural Networks Mastery with Coursera,Coursera,https://www.coursera.org/search?query=neural-networks,Advanced,36,$49,No,4.7,7226
Neural Networks,Neural Networks Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=neural-networks,Intermediate,11,$29,Yes,4.05,71485
Neural Networks,Neural Networks Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=neural-networks,Beginner,31,Free,No,4.3,66110
NLP,NLP Mastery with Coursera,Coursera,https://www.coursera.org/search?query=nlp,Intermediate,5,$49,Yes,4.95,50446
NLP,NLP Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=nlp,Advanced,37,$29,Yes,4.07,41327
NLP,NLP Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=nlp,Intermediate,9,$29,Yes,4.33,37455
Computer Vision,Computer Vision Mastery with Coursera,Coursera,https://www.coursera.org/search?query=computer-vision,Beginner,12,$49,No,4.29,92144
Computer Vision,Computer Vision Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=computer-vision,Intermediate,5,Free,Yes,4.53,97664
Computer Vision,Computer Vision Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=computer-vision,Advanced,21,Free,No,4.54,91326
Unity,Unity Mastery with Coursera,Coursera,https://www.coursera.org/search?query=unity,Advanced,16,$29,Yes,3.9,56950
Unity,Unity Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=unity,Intermediate,37,Free,No,4.79,59939
Unity,Unity Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=unity,Advanced,31,Free,No,4.26,72313
C#,C# Mastery with Coursera,Coursera,https://www.coursera.org/search?query=c#,Beginner,18,Free,Yes,3.91,17880
C#,C# Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=c#,Beginner,30,$29,Yes,4.23,2386
C#,C# Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=c#,Advanced,34,$29,No,4.94,76680
Unreal Engine,Unreal Engine Mastery with Coursera,Coursera,https://www.coursera.org/search?query=unreal-engine,Intermediate,38,$49,Yes,4.92,62266
Unreal Engine,Unreal Engine Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=unreal-engine,Advanced,21,$49,No,4.27,95542
Unreal Engine,Unreal Engine Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=unreal-engine,Beginner,39,$29,No,4.59,96390
Blender,Blender Mastery with Coursera,Coursera,https://www.coursera.org/search?query=blender,Intermediate,15,$49,Yes,4.78,5944
Blender,Blender Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=blender,Intermediate,13,Free,No,4.74,16402
Blender,Blender Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=blender,Intermediate,20,$29,Yes,4.55,52955
Game Physics,Game Physics Mastery with Coursera,Coursera,https://www.coursera.org/search?query=game-physics,Beginner,27,Free,Yes,4.93,21747
Game Physics,Game Physics Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=game-physics,Intermediate,10,$29,Yes,4.19,24132
Game Physics,Game Physics Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=game-physics,Advanced,24,Free,No,4.4,4217
3D Modeling,3D Modeling Mastery with Coursera,Coursera,https://www.coursera.org/search?query=3d-modeling,Intermediate,37,Free,No,3.96,2563
3D Modeling,3D Modeling Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=3d-modeling,Beginner,17,$49,Yes,4.1,61502
3D Modeling,3D Modeling Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=3d-modeling,Intermediate,38,Free,Yes,4.42,96524
Oracle,Oracle Mastery with Coursera,Coursera,https://www.coursera.org/search?query=oracle,Beginner,33,$49,Yes,3.8,87686
Oracle,Oracle Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=oracle,Intermediate,40,$29,No,3.84,62878
Oracle,Oracle Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=oracle,Advanced,6,Free,No,3.83,95396
Backup & Recovery,Backup & Recovery Mastery with Coursera,Coursera,https://www.coursera.org/search?query=backup-&-recovery,Intermediate,5,$49,Yes,4.61,2535
Backup & Recovery,Backup & Recovery Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=backup-&-recovery,Beginner,14,$29,No,4.62,59809
Backup & Recovery,Backup & Recovery Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=backup-&-recovery,Intermediate,14,$29,No,4.74,7349
Performance Tuning,Performance Tuning Mastery with Coursera,Coursera,https://www.coursera.org/search?query=performance-tuning,Advanced,38,$29,Yes,4.32,54028
Performance Tuning,Performance Tuning Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=performance-tuning,Intermediate,19,$29,No,4.41,11858
Performance Tuning,Performance Tuning Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=performance-tuning,Advanced,17,$29,No,4.39,86212
MySQL,MySQL Mastery with Coursera,Coursera,https://www.coursera.org/search?query=mysql,Advanced,28,$29,Yes,4.41,50776
MySQL,MySQL Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=mysql,Intermediate,9,$49,No,4.31,65041
MySQL,MySQL Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=mysql,Advanced,35,$49,No,4.49,50132
Excel,Excel Mastery with Coursera,Coursera,https://www.coursera.org/search?query=excel,Advanced,5,$29,No,4.4,17988
Excel,Excel Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=excel,Advanced,35,Free,No,4.41,60489
Excel,Excel Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=excel,Intermediate,16,$49,Yes,4.07,82772
Power BI,Power BI Mastery with Coursera,Coursera,https://www.coursera.org/search?query=power-bi,Beginner,38,Free,Yes,4.02,97892
Power BI,Power BI Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=power-bi,Beginner,15,$49,Yes,3.8,34957
Power BI,Power BI Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=power-bi,Intermediate,17,Free,No,4.15,62852
Tableau,Tableau Mastery with Coursera,Coursera,https://www.coursera.org/search?query=tableau,Beginner,22,$49,No,4.36,14573
Tableau,Tableau Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=tableau,Beginner,13,Free,No,4.05,30268
Tableau,Tableau Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=tableau,Intermediate,12,$49,Yes,4.16,25013
Business Strategy,Business Strategy Mastery with Coursera,Coursera,https://www.coursera.org/search?query=business-strategy,Beginner,33,$49,No,4.3,84360
Business Strategy,Business Strategy Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=business-strategy,Intermediate,37,Free,Yes,4.47,62806
Business Strategy,Business Strategy Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=business-strategy,Advanced,33,$49,Yes,4.07,3558
Stakeholder Management,Stakeholder Management Mastery with Coursera,Coursera,https://www.coursera.org/search?query=stakeholder-management,Intermediate,33,Free,No,4.45,88681
Stakeholder Management,Stakeholder Management Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=stakeholder-management,Beginner,11,$29,No,4.42,25461
Stakeholder Management,Stakeholder Management Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=stakeholder-management,Beginner,40,$49,No,4.98,57697
Agile,Agile Mastery with Coursera,Coursera,https://www.coursera.org/search?query=agile,Beginner,24,$49,Yes,4.33,15440
Agile,Agile Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=agile,Intermediate,35,$49,No,4.06,71450
Agile,Agile Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=agile,Intermediate,16,Free,Yes,4.28,40047
Scrum,Scrum Mastery with Coursera,Coursera,https://www.coursera.org/search?query=scrum,Intermediate,31,$29,No,4.57,50835
Scrum,Scrum Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=scrum,Beginner,25,Free,No,4.68,29819
Scrum,Scrum Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=scrum,Advanced,19,Free,Yes,3.92,54712
Jira,Jira Mastery with Coursera,Coursera,https://www.coursera.org/search?query=jira,Advanced,34,$29,Yes,4.19,23746
Jira,Jira Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=jira,Advanced,24,Free,Yes,3.97,84219
Jira,Jira Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=jira,Advanced,14,$29,No,4.05,32822
Team Facilitation,Team Facilitation Mastery with Coursera,Coursera,https://www.coursera.org/search?query=team-facilitation,Beginner,26,$49,No,4.26,37205
Team Facilitation,Team Facilitation Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=team-facilitation,Advanced,8,$29,Yes,4.2,62189
Team Facilitation,Team Facilitation Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=team-facilitation,Beginner,21,$29,Yes,4.69,27051
Sprint Planning,Sprint Planning Mastery with Coursera,Coursera,https://www.coursera.org/search?query=sprint-planning,Intermediate,22,Free,No,4.6,50133
Sprint Planning,Sprint Planning Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=sprint-planning,Beginner,28,$49,Yes,4.49,80687
Sprint Planning,Sprint Planning Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=sprint-planning,Beginner,33,$49,No,4.8,78241
Retrospectives,Retrospectives Mastery with Coursera,Coursera,https://www.coursera.org/search?query=retrospectives,Intermediate,20,Free,Yes,4.5,3351
Retrospectives,Retrospectives Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=retrospectives,Intermediate,33,$29,No,4.94,45167
Retrospectives,Retrospectives Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=retrospectives,Advanced,33,$29,No,3.85,90559
Roadmapping,Roadmapping Mastery with Coursera,Coursera,https://www.coursera.org/search?query=roadmapping,Beginner,15,$29,Yes,4.48,36991
Roadmapping,Roadmapping Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=roadmapping,Advanced,27,Free,No,3.97,54998
Roadmapping,Roadmapping Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=roadmapping,Advanced,6,Free,No,4.05,61294
User Stories,User Stories Mastery with Coursera,Coursera,https://www.coursera.org/search?query=user-stories,Intermediate,18,$49,No,4.19,71397
User Stories,User Stories Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=user-stories,Advanced,17,Free,Yes,4.81,36394
User Stories,User Stories Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=user-stories,Beginner,20,$49,No,4.8,25999
Stakeholder Communication,Stakeholder Communication Mastery with Coursera,Coursera,https://www.coursera.org/search?query=stakeholder-communication,Intermediate,33,$49,Yes,4.09,51777
Stakeholder Communication,Stakeholder Communication Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=stakeholder-communication,Beginner,20,Free,Yes,4.37,82037
Stakeholder Communication,Stakeholder Communication Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=stakeholder-communication,Intermediate,29,$49,No,4.9,76546
Analytics,Analytics Mastery with Coursera,Coursera,https://www.coursera.org/search?query=analytics,Advanced,32,$29,Yes,4.01,39990
Analytics,Analytics Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=analytics,Intermediate,24,$29,No,4.21,5452
Analytics,Analytics Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=analytics,Intermediate,11,$29,No,4.13,7413
MVP,MVP Mastery with Coursera,Coursera,https://www.coursera.org/search?query=mvp,Intermediate,22,Free,Yes,4.31,22994
MVP,MVP Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=mvp,Beginner,16,$49,No,4.66,17855
MVP,MVP Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=mvp,Advanced,21,$29,Yes,4.9,95821
Solidity,Solidity Mastery with Coursera,Coursera,https://www.coursera.org/search?query=solidity,Advanced,13,Free,Yes,4.43,70380
Solidity,Solidity Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=solidity,Intermediate,15,$29,Yes,3.82,71113
Solidity,Solidity Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=solidity,Intermediate,6,Free,No,4.47,90601
Ethereum,Ethereum Mastery with Coursera,Coursera,https://www.coursera.org/search?query=ethereum,Advanced,40,Free,No,4.53,92299
Ethereum,Ethereum Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=ethereum,Intermediate,15,Free,Yes,4.03,15191
Ethereum,Ethereum Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=ethereum,Intermediate,27,$29,No,4.86,42485
Smart Contracts,Smart Contracts Mastery with Coursera,Coursera,https://www.coursera.org/search?query=smart-contracts,Intermediate,29,$49,Yes,4.47,25090
Smart Contracts,Smart Contracts Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=smart-contracts,Advanced,36,$49,Yes,4.37,96608
Smart Contracts,Smart Contracts Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=smart-contracts,Intermediate,17,Free,No,4.17,75955
Web3.js,Web3.js Mastery with Coursera,Coursera,https://www.coursera.org/search?query=web3.js,Intermediate,37,$29,No,4.32,12200
Web3.js,Web3.js Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=web3.js,Intermediate,21,$29,No,3.95,40650
Web3.js,Web3.js Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=web3.js,Intermediate,36,$29,No,4.33,85058
Crypto Wallets,Crypto Wallets Mastery with Coursera,Coursera,https://www.coursera.org/search?query=crypto-wallets,Intermediate,30,$49,No,4.91,51521
Crypto Wallets,Crypto Wallets Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=crypto-wallets,Advanced,17,$29,No,4.27,52893
Crypto Wallets,Crypto Wallets Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=crypto-wallets,Intermediate,6,$49,Yes,4.69,42239
Truffle,Truffle Mastery with Coursera,Coursera,https://www.coursera.org/search?query=truffle,Beginner,28,$29,Yes,4.91,42209
Truffle,Truffle Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=truffle,Advanced,35,Free,No,3.87,8680
Truffle,Truffle Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=truffle,Beginner,23,$29,Yes,3.83,16985
Monitoring,Monitoring Mastery with Coursera,Coursera,https://www.coursera.org/search?query=monitoring,Beginner,33,$49,No,4.24,91922
Monitoring,Monitoring Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=monitoring,Advanced,19,Free,No,4.47,61526
Monitoring,Monitoring Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=monitoring,Intermediate,24,$29,Yes,4.88,94450
Incident Management,Incident Management Mastery with Coursera,Coursera,https://www.coursera.org/search?query=incident-management,Advanced,7,Free,Yes,4.17,44468
Incident Management,Incident Management Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=incident-management,Intermediate,22,$49,Yes,3.81,71138
Incident Management,Incident Management Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=incident-management,Beginner,27,$49,No,4.39,78000
SLAs,SLAs Mastery with Coursera,Coursera,https://www.coursera.org/search?query=slas,Intermediate,20,$49,No,4.7,5213
SLAs,SLAs Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=slas,Advanced,29,$29,No,4.41,74881
SLAs,SLAs Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=slas,Advanced,26,$29,Yes,4.22,77710
Prometheus,Prometheus Mastery with Coursera,Coursera,https://www.coursera.org/search?query=prometheus,Advanced,18,Free,No,4.12,57480
Prometheus,Prometheus Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=prometheus,Beginner,34,$49,Yes,4.78,51419
Prometheus,Prometheus Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=prometheus,Intermediate,14,$29,Yes,4.45,12828
Grafana,Grafana Mastery with Coursera,Coursera,https://www.coursera.org/search?query=grafana,Intermediate,33,$49,No,3.88,15431
Grafana,Grafana Mastery with Udemy,Udemy,https://www.udemy.com/courses/search/?q=grafana,Beginner,23,$49,Yes,4.56,76816
Grafana,Grafana Mastery with LinkedIn Learning,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=grafana,Advanced,5,$49,No,4.79,90253
